#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-07-29T12:51:22 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-07-29T12:51:22	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J%2FMNRAS%2F478%2F1520%2Ftable2&-out.all=1&-out.max=50000&-oc.form=sexa	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74781520
#Name: J/MNRAS/478/1520
#Title: Milky Way globular clusters data (Baumgardt+, 2018)
#INFO	ivoid=ivo://cds.vizier/j/mnras/478/1520	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/478/1520	    IVOID of underlying data collection
#INFO	creator=Baumgardt H.	    First author or institution
#INFO	cites=bibcode:2018MNRAS.478.1520B	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2018	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/478/1520	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74781520	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-08-18	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_478_1520_table2:
#Name: J/MNRAS/478/1520/table2
#Title: Derived parameters of all studied globular clusters
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Note	(A1)	[*] * indicates data in tabled.dat	[ucd=meta.note]
#Column	Cluster	(a12)	Name of the cluster	[ucd=meta.id.parent]
#Column	NRV	(I4)	Number of cluster members with measured radial velocities	[ucd=meta.number]
#Column	<RV>	(F6.1)	Mean radial velocity of the cluster	[ucd=phys.veloc;pos.heliocentric]
#Column	e_<RV>	(F4.1)	Mean radial velocity of the cluster error	[ucd=stat.error]
#Column	chi2	(F5.2)	Reduced chi^2^ value of the velocity dispersion fit	[ucd=stat.fit.chi2;phys.veloc.dispersion;meta.modelled]
#Column	Dist	(F6.2)	Cluster distance (1)	[ucd=pos.distance]
#Column	n_Dist	(A1)	[ab] Note on Dist (2)	[ucd=meta.note]
#Column	Mass	(E9.2)	Total cluster mass	[ucd=phys.mass]
#Column	e_Mass	(E9.2)	Total cluster mass error	[ucd=stat.error;phys.mass]
#Column	M/LV	(F5.2)	Total cluster V-band mass-to-light ratio	[ucd=phys.composition.massLightRatio]
#Column	e_M/LV	(F5.2)	Total cluster V-band mass-to-light ratio error	[ucd=stat.error]
#Column	rc	(F5.2)	Core half-light radius	[ucd=phys.size.radius]
#Column	rnm	(F5.2)	Half-mass half-light radius	[ucd=phys.size.radius]
#Column	rmlp	(F5.2)	Projected half-light radius	[ucd=phys.size.radius]
#Column	logrhoc	(F5.2)	Central density	[ucd=phys.density]
#Column	logrhonm	(F5.2)	Density inside the half-mass radius	[ucd=phys.size.radius]
#Column	logTRH	(F5.2)	Half-mass relaxation time	[ucd=time.relax]
#Column	MFslope	(E8.1)	Global mass function slope	[ucd=arith.grad;phys.mass]
#Column	n_MFslope	(A1)	[cd] Note on MFslope (2)	[ucd=meta.note]
#Column	sigma0	(F4.1)	Mass-weighted central (1D) velocity dispersion	[ucd=phys.veloc.dispersion]
#Column	Vesc	(F4.1)	Central escape velocity	[ucd=phys.veloc.escape]
#Column	SimbadName	(a19)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
recno	Note	Cluster	NRV	<RV>	e_<RV>	chi2	Dist	n_Dist	Mass	e_Mass	M/LV	e_M/LV	rc	rnm	rmlp	logrhoc	logrhonm	logTRH	MFslope	n_MFslope	sigma0	Vesc	SimbadName	_RA	_DE
      15	 	Pal 4       	  23	  72.7	 0.3	 0.00	103.00	a	 2.98e+04	 1.27e+04	 1.64	 0.71	13.61	25.87	17.87	-0.29	-0.63	10.15	-1.5e+00	c	 1.0	 3.4	Pal 4              	172.32000	+28.97361
      16	 	NGC 4147    	  30	 179.1	 0.3	 2.84	 18.20	a	 3.29e+04	 9.00e+03	 1.51	 0.44	 0.27	 3.47	 2.49	 4.70	 2.63	 8.59	 1.0e-02	c	 3.1	11.9	NGC 4147           	182.52562	+18.54216
      17	*	NGC 4372    	 214	  75.3	 0.3	 0.77	  6.30	a	 2.49e+05	 2.50e+04	 1.89	 0.19	 4.82	 9.19	 6.34	 1.98	 1.61	 9.77	-1.0e+00	d	 4.9	16.4	NGC 4372           	186.43929	-72.65908
      18	 	Rup 106     	  38	 -38.4	 0.3	 0.05	 24.30	a	 1.02e+05	 2.80e+04	 2.62	 0.86	 8.04	14.79	10.47	 0.93	 0.61	 9.94	-1.2e+00	d	 2.5	 8.2	Rup 106            	189.66750	-51.15028
      19	*	NGC 4590    	 252	 -93.2	 0.2	 0.65	 10.59	a	 1.23e+05	 1.20e+04	 2.02	 0.41	 1.99	 7.71	 4.51	 2.44	 1.44	 9.55	-1.0e+00	c	 3.7	14.1	NGC 4590           	189.86658	-26.74406
      20	 	NGC 4833    	 134	 202.0	 0.4	 0.10	  9.00	a	 2.47e+05	 3.20e+04	 0.84	 0.19	 2.34	 9.04	 6.75	 2.60	 1.65	 9.63	-1.0e-01	c	 4.8	17.9	NGC 4833           	194.89133	-70.87650
      21	*	NGC 5024    	 273	 -63.1	 0.2	 1.46	 17.90	a	 3.80e+05	 3.60e+04	 1.59	 0.20	 2.16	 9.92	 6.23	 2.81	 1.63	 9.92	-1.1e+00	c	 5.9	22.4	NGC 5024           	198.23021	+18.16817
      22	 	NGC 5053    	  56	  42.5	 0.2	 0.08	 17.20	a	 5.66e+04	 1.33e+04	 1.66	 0.50	11.00	19.01	13.41	 0.32	 0.04	10.00	-1.1e+00	c	 1.6	 5.3	NGC 5053           	199.11287	+17.70025
      23	*	NGC 5139    	5096	 232.7	 0.2	 1.63	  5.20	b	 3.55e+06	 3.00e+04	 2.90	 0.27	 4.22	10.04	 7.04	 3.22	 2.44	10.39	 0.0e+00	d	17.6	62.1	NGC 5139           	201.69700	-47.47947
      24	*	NGC 5272    	 731	-147.2	 0.2	 2.22	 10.06	a	 3.94e+05	 2.30e+04	 1.56	 0.22	 1.04	 5.44	 3.36	 3.80	 2.42	 9.47	-7.5e-01	c	 8.1	31.7	NGC 5272           	205.54842	+28.37728
      25	 	NGC 5286    	1024	  62.2	 0.4	 0.61	 11.70	a	 4.01e+05	 1.90e+04	 1.41	 0.14	 0.77	 4.26	 2.64	 4.12	 2.79	 9.30	-6.7e-01	c	 9.3	36.0	NGC 5286           	206.61171	-51.37425
      26	 	NGC 5466    	  84	 106.9	 0.1	 0.90	 16.90	a	 4.56e+04	 1.13e+04	 1.13	 0.39	 8.16	15.68	10.72	 0.57	 0.20	 9.83	-1.0e+00	c	 1.6	 5.3	NGC 5466           	211.36371	+28.53444
      27	 	NGC 5634    	  49	 -16.2	 0.5	 0.97	 27.20	a	 2.13e+05	 4.70e+04	 2.32	 0.74	 0.88	 7.50	 4.69	 4.22	 2.11	 9.56	-8.3e-01	d	 5.3	21.7	NGC 5634           	217.40533	-05.97642
      28	 	NGC 5694    	  89	-139.4	 0.4	 0.87	 37.33	a	 3.83e+05	 3.80e+04	 2.78	 0.32	 0.04	 5.93	 3.31	 6.65	 2.39	 9.53	-8.0e-01	d	 8.9	35.2	NGC 5694           	219.90217	-26.53833
      29	 	IC 4499     	  37	  38.7	 0.5	 0.55	 18.20	a	 1.67e+05	 4.70e+04	 2.25	 0.78	 5.30	14.84	 9.83	 1.47	 0.80	10.06	-1.3e+00	d	 3.1	11.2	IC 4499            	225.07737	-82.21378
      30	 	NGC 5824    	 191	 -25.5	 0.5	 0.99	 31.80	a	 7.79e+05	 4.20e+04	 2.30	 0.34	 0.08	 6.74	 3.74	 6.54	 2.50	 9.78	-1.0e+00	d	11.9	48.6	NGC 5824           	225.99422	-33.06853
      31	*	Pal 5       	  37	 -58.4	 0.3	 0.00	 23.55	a	 1.39e+04	 6.50e+03	 1.60	 0.80	20.13	35.67	25.10	-1.14	-1.45	10.24	-1.5e+00	d	 0.6	 1.9	Pal 5              	229.02208	-00.11139
      32	 	NGC 5897    	 241	 101.2	 0.2	 1.33	 13.43	a	 2.03e+05	 2.10e+04	 3.05	 0.43	 5.85	11.59	 8.02	 1.59	 1.20	 9.92	-1.2e+00	d	 3.9	13.2	NGC 5897           	229.35167	-21.01011
      33	*	NGC 5904    	 889	  53.8	 0.2	 1.13	  7.50	b	 3.72e+05	 6.00e+03	 1.52	 0.20	 1.20	 5.58	 3.61	 3.66	 2.41	 9.45	-5.2e-01	c	 7.7	29.9	NGC 5904           	229.63842	+02.08103
      34	 	NGC 5927    	 386	-104.1	 0.3	 1.42	  8.40	b	 3.54e+05	 3.00e+03	 2.61	 0.36	 1.46	 7.21	 4.98	 3.28	 2.23	 9.54	-3.0e-01	c	 6.5	24.9	NGC 5927           	232.00287	-50.67303
      35	*	NGC 5986    	 231	 101.0	 0.4	 1.07	  9.00	a	 3.01e+05	 3.10e+04	 2.45	 0.38	 1.09	 3.73	 2.44	 4.13	 3.27	 9.12	-5.7e-01	c	 8.3	31.1	NGC 5986           	236.51250	-37.78642
      36	 	Pal 14      	  17	  72.2	 0.2	 0.00	 71.00	a	 2.27e+04	 1.14e+04	 3.40	 1.82	17.10	33.14	23.60	-0.68	-1.06	10.27	-1.5e+00	c	 0.8	 2.6	Pal 14             	242.74583	+14.96167
      37	*	NGC 6093    	 455	  11.2	 0.4	 1.94	 10.50	a	 2.49e+05	 1.20e+04	 1.43	 0.15	 0.19	 3.02	 1.83	 5.48	 3.15	 8.94	-3.1e-01	c	 9.5	40.2	NGC 6093           	244.26004	-22.97608
      38	*	NGC 6121    	2981	  71.0	 0.1	 0.85	  2.14	a	 9.69e+04	 2.60e+03	 1.71	 0.10	 0.66	 4.20	 2.82	 3.63	 2.17	 8.99	-1.9e-01	c	 4.6	18.4	NGC 6121           	245.89675	-26.52575
      39	 	NGC 6101    	   0	 361.4	 1.7	 0.00	 16.07	a	 1.27e+05	 1.10e+04	 3.00	 1.70	 5.45	14.97	10.32	 1.32	 0.66	 9.98	-1.0e+00	c	 2.7	 9.6	NGC 6101           	246.45050	-72.20219
      40	 	NGC 6144    	  19	 196.0	 0.7	 0.08	 12.02	a	 4.63e+04	 2.66e+04	 0.54	 0.32	 2.72	 7.91	 5.90	 1.77	 1.05	 9.25	 1.2e-01	c	 2.2	 8.0	NGC 6144           	246.80775	-26.02350
      41	 	NGC 6139    	  56	  25.0	 0.8	 0.16	 10.40	a	 3.59e+05	 7.30e+04	 1.90	 0.40	 0.41	 4.29	 2.62	 4.84	 2.71	 9.28	-5.7e-01	d	 9.2	37.8	NGC 6139           	246.91661	-38.84917
      42	*	Ter 3       	  22	-135.7	 0.6	 0.00	  8.10	a	 5.46e+04	 2.25e+04	 7.70	 3.49	 2.39	 7.92	 5.27	 1.95	 1.12	 9.35	-6.3e-01	d	 2.4	 9.2	Ter 3              	247.16708	-35.35361
      43	*	NGC 6171    	 392	 -34.7	 0.2	 1.53	  6.09	a	 8.70e+04	 7.00e+03	 2.16	 0.61	 0.88	 4.27	 3.11	 3.31	 2.12	 8.95	 8.0e-02	c	 4.3	16.4	NGC 6171           	248.13275	-13.05378
      44	 	ESO 452-SC11	  13	  16.4	 0.4	 0.00	  7.80	a	 1.06e+04	 5.70e+03	 3.38	 1.91	 0.16	 5.21	 3.66	 4.06	 1.02	 8.73	-5.0e-02	d	 1.6	 6.3	ESO 452-SC11       	249.85625	-28.39778
      45	 	NGC 6205    	 386	-244.4	 0.3	 2.92	  6.60	a	 4.53e+05	 3.40e+04	 2.61	 0.26	 1.58	 4.56	 3.08	 3.58	 2.87	 9.36	-6.2e-01	c	 9.2	33.4	NGC 6205           	250.42347	+36.46132
      46	 	NGC 6229    	  21	-138.3	 0.8	 0.00	 30.62	a	 2.91e+05	 9.40e+04	 2.42	 0.88	 1.16	 5.01	 3.18	 3.56	 2.46	 9.35	-6.3e-01	d	 7.1	27.3	NGC 6229           	251.74434	+47.52677
      47	*	NGC 6218    	 469	 -41.2	 0.2	 0.99	  5.22	a	 8.65e+04	 6.00e+03	 1.27	 0.30	 0.71	 4.05	 2.82	 4.05	 2.51	 8.91	-2.5e-01	c	 4.5	16.9	NGC 6218           	251.80908	-01.94853
      48	*	NGC 6254    	 400	  74.0	 0.2	 1.07	  4.71	a	 1.84e+05	 4.00e+03	 1.94	 0.07	 0.81	 4.39	 2.78	 3.78	 2.49	 9.15	-5.0e-01	c	 6.2	24.1	NGC 6254           	254.28771	-04.10031
      49	 	NGC 6256    	  15	 -99.6	 1.1	 0.00	  6.40	a	 7.23e+04	 3.32e+04	 2.23	 1.43	 0.05	 4.38	 2.93	 5.98	 1.99	 8.96	-2.6e-01	d	 4.5	17.7	NGC 6256           	254.88617	-37.12142
      50	 	NGC 6266    	 239	 -74.5	 0.7	 1.67	  6.47	b	 7.07e+05	 5.00e+03	 2.57	 0.21	 0.39	 2.95	 1.83	 5.13	 3.52	 9.13	-4.3e-01	d	15.2	60.9	NGC 6266           	255.30250	-30.11236
      51	 	NGC 6273    	 296	 145.3	 0.5	 0.55	  8.24	a	 6.80e+05	 5.90e+04	 2.09	 0.20	 1.11	 4.97	 3.13	 4.04	 2.82	 9.53	-8.1e-01	d	11.0	42.5	NGC 6273           	255.65704	-26.26794
      52	 	NGC 6284    	  56	  29.0	 0.7	 0.24	 15.30	a	 5.51e+05	 1.13e+05	 3.42	 1.11	 0.63	 6.77	 3.91	 4.17	 2.38	 9.67	-9.4e-01	d	 8.9	36.2	NGC 6284           	256.11978	-24.76423
      53	 	NGC 6293    	   0	-142.6	 0.4	 1.06	  9.50	a	 1.88e+05	 1.80e+04	 1.67	 0.29	 0.11	 4.37	 2.76	 5.55	 2.34	 9.17	-4.6e-01	d	 7.5	29.9	NGC 6293           	257.54342	-26.58172
      54	 	NGC 6304    	 193	-108.2	 0.4	 0.65	  9.40	a	 2.77e+05	 2.90e+04	 1.37	 0.26	 1.02	 6.68	 4.45	 3.39	 2.03	 9.49	-6.6e-01	c	 5.7	23.0	NGC 6304           	258.63437	-29.46203
      55	 	NGC 6316    	  70	  99.1	 0.8	 0.39	 11.60	a	 3.75e+05	 6.90e+04	 2.10	 0.75	 0.59	 4.49	 2.72	 4.40	 2.69	 9.32	-6.1e-01	d	 9.0	35.9	NGC 6316           	259.15592	-28.14000
      56	 	NGC 6341    	 422	-120.7	 0.3	 0.75	  8.10	b	 2.68e+05	 3.00e+03	 1.81	 0.09	 0.61	 4.14	 2.28	 4.94	 2.67	 9.24	-8.2e-01	c	 8.0	31.9	NGC 6341           	259.28079	+43.13594
      57	 	NGC 6342    	  19	 116.0	 0.8	 0.00	  8.43	a	 4.64e+04	 1.60e+04	 2.82	 1.44	 0.07	 2.88	 2.10	 6.69	 2.96	 8.53	 1.4e-01	d	 4.5	17.0	NGC 6342           	260.29225	-19.58742
      58	 	NGC 6356    	  20	  37.6	 1.2	 0.00	 15.10	a	 3.98e+05	 1.54e+05	 1.62	 0.65	 1.14	 5.89	 3.71	 3.76	 2.42	 9.54	-8.1e-01	d	 7.8	30.7	NGC 6356           	260.89579	-17.81303
      59	*	NGC 6355    	  10	-196.4	 1.3	 0.00	  8.70	a	 1.53e+05	 7.70e+04	 1.22	 0.66	 0.33	 4.22	 2.64	 4.82	 2.41	 9.09	-3.9e-01	d	 6.2	24.6	NGC 6355           	260.99437	-26.35342
      60	 	NGC 6352    	  33	-140.1	 0.8	 0.02	  5.89	a	 9.38e+04	 3.49e+04	 2.47	 0.95	 0.57	 4.71	 3.23	 3.64	 1.97	 9.08	-3.7e-01	d	 4.4	16.8	NGC 6352           	261.37129	-48.42217
      61	*	NGC 6366    	 220	-120.9	 0.2	 0.51	  3.30	a	 4.73e+04	 5.60e+03	 2.34	 0.73	 1.38	 4.54	 3.31	 2.65	 1.83	 8.89	-1.6e-01	c	 3.0	11.2	NGC 6366           	261.93433	-05.07986
      62	*	HP 1        	  24	  40.1	 1.1	 0.00	  6.80	a	 1.11e+05	 3.80e+04	 5.04	 1.95	 0.27	 3.86	 2.55	 5.16	 2.41	 8.95	-2.6e-01	d	 5.5	21.3	Cl Haute-Provence 1	262.77167	-29.98167
      63	 	NGC 6362    	 374	 -14.7	 0.2	 1.11	  8.00	b	 1.47e+05	 4.00e+03	 2.60	 0.14	 2.85	 8.07	 5.77	 2.22	 1.53	 9.51	-3.9e-01	c	 3.9	14.2	NGC 6362           	262.97912	-67.04833
      64	*	Lil 1       	  64	  58.2	 2.2	 0.30	  8.10	a	 6.66e+05	 1.17e+05	 1.48	 0.29	 0.06	 1.57	 1.11	 7.85	 4.91	 8.61	 7.0e-02	d	23.2	94.3	Liller 1           	263.35208	-33.38889
      65	 	Ter 1       	  27	  57.7	 1.2	 0.00	  6.70	a	 2.23e+05	 6.60e+04	 3.22	 1.81	 0.61	 3.34	 2.27	 4.18	 2.89	 8.99	-2.9e-01	d	 7.8	30.2	Ter 1              	263.94917	-30.46972
      66	 	Ton 2       	  24	-183.8	 0.8	 0.00	  6.40	a	 8.01e+04	 4.02e+04	 5.31	 3.05	 0.95	 6.39	 4.45	 2.67	 1.38	 9.18	-4.7e-01	d	 2.9	11.8	Ton 2              	264.04375	-38.55333
      67	*	NGC 6388    	 481	  83.4	 0.5	 2.89	 11.00	b	 1.06e+06	 1.00e+04	 1.93	 0.16	 0.35	 3.20	 1.96	 5.55	 3.59	 9.28	-5.7e-01	d	18.2	74.2	NGC 6388           	264.07275	-44.73565
      68	 	NGC 6402    	 333	 -60.7	 0.4	 1.22	  9.30	a	 7.74e+05	 6.10e+04	 2.20	 0.23	 2.28	 5.33	 3.57	 3.32	 2.79	 9.60	-8.7e-01	d	11.1	39.0	NGC 6402           	264.40062	-03.24592
      69	*	NGC 6397    	2945	  18.4	 0.1	 1.33	  2.48	b	 8.89e+04	 1.60e+03	 2.18	 0.34	 0.08	 4.00	 2.19	 5.99	 2.67	 8.96	-7.5e-01	c	 5.2	21.9	NGC 6397           	265.17537	-53.67433
      70	*	Ter 5       	 398	 -82.3	 1.3	 0.58	  5.90	a	 5.66e+05	 7.10e+04	 1.31	 0.26	 0.13	 1.58	 1.14	 6.92	 4.77	 8.59	 9.0e-02	d	19.0	72.1	Ter 5              	267.02083	-24.78000
      71	*	NGC 6440    	 164	 -67.8	 1.0	 1.24	  8.24	a	 4.42e+05	 6.40e+04	 2.04	 0.40	 0.21	 1.79	 1.25	 6.21	 4.48	 8.63	 5.0e-02	d	15.8	61.7	NGC 6440           	267.21946	-20.35958
      72	*	NGC 6441    	 326	  17.1	 0.8	 1.78	 12.00	b	 1.23e+06	 1.00e+04	 2.05	 0.13	 0.42	 3.37	 2.03	 5.40	 3.59	 9.35	-6.3e-01	d	18.8	75.8	NGC 6441           	267.55442	-37.05144
