#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-07-29T12:51:06 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-07-29T12:51:06	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=VII%2F202%2Fcatalog&-out.all=1&-out.max=50000&-oc.form=sexa	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_7202
#Name: VII/202
#Title: Globular Clusters in the Milky Way (Harris, 1997)
#INFO	ivoid=ivo://cds.vizier/vii/202	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/vii/202	    IVOID of underlying data collection
#INFO	creator=Harris W.E.	    First author or institution
#INFO	cites=bibcode:1996AJ....112.1487H	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=1996	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VII/202	    Dataset landing page
#INFO	publication_date=2015-08-06	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	VII_202_catalog:
#Name: VII/202/catalog
#Title: The catalogue of Globular Clusters
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	ID	(A9)	Cluster identification number	[ucd=meta.id;phys.atmol.number]
#Column	Name	(a11)	Other commonly used cluster name	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A10)	Right Ascension J2000	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Declination J2000	[ucd=pos.eq.dec;meta.main]
#Column	GLON	(F6.2)	Galactic longitude	[ucd=pos.galactic.lon]
#Column	GLAT	(F6.2)	Galactic latitude	[ucd=pos.galactic.lat]
#Column	Rsun	(F5.1)	? Distance from Sun	[ucd=pos.distance;pos.heliocentric]
#Column	Rgc	(F5.1)	? Distance from Galactic center, assuming R(Sun)=8.0 kpc	[ucd=pos.distance;pos.galactocentric]
#Column	X	(F5.1)	? X-component (1)	[ucd=pos]
#Column	Y	(F5.1)	? Y-component (1)	[ucd=pos]
#Column	Z	(F5.1)	? Z-component (1)	[ucd=pos]
#Column	E(B-V)	(F5.2)	? Foreground reddening	[ucd=phot.color.excess]
#Column	V(HB)	(F5.2)	? V magnitude of the horizontal branch (or RR Lyraes)	[ucd=phot.mag;em.opt.V]
#Column	(m-M)V	(F5.2)	? Apparent visual distance modulus	[ucd=phot.mag.distMod]
#Column	Vt	(F5.2)	? Integrated V magnitude of the cluster	[ucd=phot.mag;em.opt]
#Column	MVt	(F6.2)	? Absolute visual magnitude (cluster luminosity)	[ucd=phys.magAbs;em.opt.V]
#Column	(U-B)t	(F5.2)	? Integrated color index (2)	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	(B-V)t	(F5.2)	? Integrated color index (2)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	(V-R)t	(F5.2)	? Integrated color index (2)	[ucd=phot.color;em.opt.V;em.opt.R]
#Column	(V-I)t	(F5.2)	? Integrated color index (2)	[ucd=phot.color;em.opt.V;em.opt.I]
#Column	S(RR)	(F5.1)	? Specific frequency of RR Lyr (see Suntzeff et al., 1991ApJ...367..528S)	[ucd=em.freq]
#Column	HBR	(F5.2)	? Horizontal-branch ratio = (B-R)/(B+V+R) (see Lee, 1990ApJ...363..159L)	[ucd=stat.param]
#Column	HBt	(A3)	[0-7/: ] Dickens horizontal-branch morphological type (see Dickens, 1972MNRAS.157..281D)	[ucd=src.morph.type]
#Column	[Fe/H]	(F5.2)	? Metallicity in log (base 10) scale	[ucd=instr.scale]
#Column	SpT	(A4)	Integrated spectral type	[ucd=src.spType]
#Column	Vr	(F6.1)	? Heliocentric radial velocity	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	e_Vr	(F4.1)	? Observational uncertainty in Vr	[ucd=stat.error]
#Column	Vlsr	(F6.1)	? Radial velocity relative to Solar local standard of rest	[ucd=spect.dopplerVeloc;pos.lsr]
#Column	c	(F5.2)	? Central concentration, c = log(Rt/Rc)	[ucd=em.wl.central]
#Column	n_c	(A2)	[c: ] 'c' denotes a core-collapsed cluster	[ucd=meta.note]
#Column	Rc	(F5.2)	? Core radius	[ucd=phys.angSize]
#Column	Rh	(F5.2)	? Half-mass radius	[ucd=phys.angSize]
#Column	u_Rh	(A1)	Uncertainty flag (:) on Rh	[ucd=meta.code.error]
#Column	log(Tc)	(F5.2)	? Log (base 10) of core relaxation time	[ucd=time.relax]
#Column	log(Th)	(F5.2)	? Log (base 10) of relaxation time at the half-mass radius	[ucd=time.relax]
#Column	muV	(F5.2)	? Central surface brightness in V band	[ucd=phot.mag.sb;em.opt.V]
#Column	log(rhoc)	(F5.2)	? Logarithm of central luminosity density (Solar luminosities per cubic parsec)	[ucd=phys.luminosity]
recno	ID	Name	RAJ2000	DEJ2000	GLON	GLAT	Rsun	Rgc	X	Y	Z	E(B-V)	V(HB)	(m-M)V	Vt	MVt	(U-B)t	(B-V)t	(V-R)t	(V-I)t	S(RR)	HBR	HBt	[Fe/H]	SpT	Vr	e_Vr	Vlsr	c	n_c	Rc	Rh	u_Rh	log(Tc)	log(Th)	muV	log(rhoc)
      15	E 3      	           	09 20 59.3	-77 16 57	292.27	-19.02	  4.2	  7.6	  1.5	 -3.7	 -1.4	 0.30	14.80	14.07	11.35	 -2.72	     	     	     	     	  0.0	     	   	-0.80	    	      	    	      	 0.75	  	 1.87	 2.06	 	     	     	23.10	 1.12
      16	Pal 3    	           	10 05 31.4	+00 04 17	240.14	 41.86	 89.4	 92.6	-33.1	-57.7	 59.6	 0.03	20.45	19.85	14.26	 -5.59	     	     	     	     	 17.4	-0.82	6  	-1.66	    	  83.4	 8.4	  74.9	 1.00	  	 0.48	 0.66	 	 9.91	 9.64	23.08	 0.01
      17	NGC 3201 	           	10 17 36.8	-46 24 40	277.23	  8.64	  5.1	  8.9	  0.6	 -5.0	  0.8	 0.21	14.80	14.17	 6.75	 -7.42	 0.38	 0.96	 0.62	 1.23	 91.3	 0.08	4  	-1.48	F6  	 494.0	 0.2	 481.9	 1.31	  	 1.45	 2.68	 	 8.82	 8.79	18.77	 2.69
      18	Pal 4    	           	11 29 16.8	+28 58 25	202.31	 71.80	 99.6	102.2	-28.8	-11.8	 94.6	 0.01	20.65	20.02	14.20	 -5.82	     	     	     	     	  0.0	-1.00	7  	-1.48	    	  74.5	 2.1	  76.7	 0.78	  	 0.55	 0.54	 	10.07	 9.54	23.54	-0.26
      19	NGC 4147 	           	12 10 06.2	+18 32 31	252.85	 77.19	 18.8	 20.9	 -1.2	 -4.0	 18.3	 0.02	17.01	16.43	10.32	 -6.11	 0.11	 0.59	 0.42	 0.79	 57.3	 0.55	3  	-1.83	F2/3	 183.2	 0.7	 186.5	 1.80	  	 0.10	 0.43	 	 7.59	 8.37	17.63	 3.49
      20	NGC 4372 	           	12 25 45.4	-72 39 33	300.99	 -9.88	  4.9	  6.9	  2.5	 -4.2	 -0.8	 0.42	15.30	14.76	 7.24	 -7.52	 0.31	 1.10	 0.72	 1.50	  0.0	 1.00	1  	-2.09	F5  	  72.3	 1.3	  63.8	 1.30	  	 1.75	 3.90	 	 8.88	 9.23	20.51	 2.19
      21	Rup 106  	           	12 38 40.2	-51 09 01	300.89	 11.67	 20.6	 18.0	 10.4	-17.3	  4.2	 0.21	17.80	17.22	10.90	 -6.32	     	     	     	     	     	-0.82	6  	-1.80	    	 -44.0	 3.0	 -49.7	 0.70	  	 1.00	 1.10	 	     	     	21.82	 1.12
      22	NGC 4590 	M 68       	12 39 28.0	-26 44 34	299.63	 36.05	 10.1	 10.0	  4.0	 -7.1	  5.9	 0.04	15.68	15.14	 7.84	 -7.30	 0.04	 0.63	 0.46	 0.94	 49.3	 0.17	3  	-2.06	F2/3	 -95.2	 0.4	 -97.1	 1.64	  	 0.69	 1.55	 	 8.60	 8.90	18.67	 2.53
      23	NGC 4833 	           	12 59 35.0	-70 52 29	303.61	 -8.01	  5.9	  6.9	  3.2	 -4.8	 -0.8	 0.33	15.45	14.87	 6.91	 -7.96	 0.29	 0.93	 0.63	 1.33	 11.8	 0.93	1  	-1.79	F3  	 200.2	 1.2	 192.7	 1.25	  	 1.00	 2.41	 	 8.79	 8.77	18.45	 3.07
      24	NGC 5024 	M 53       	13 12 55.3	+18 10 09	332.96	 79.76	 18.4	 18.9	  2.9	 -1.5	 18.2	 0.01	16.90	16.36	 7.61	 -8.75	 0.09	 0.64	 0.45	 0.86	 13.9	 0.76	2  	-2.07	F6  	 -79.1	 4.1	 -71.5	 1.78	  	 0.37	 1.11	 	 8.90	 9.42	17.39	 3.01
      25	NGC 5053 	           	13 16 27.0	+17 41 53	335.69	 78.94	 16.2	 16.8	  2.8	 -1.3	 15.9	 0.03	16.65	16.14	 9.47	 -6.67	 0.03	 0.65	     	 0.90	 21.4	 0.52	3  	-2.29	    	  44.0	 0.4	  51.8	 0.82	  	 2.25	 3.50	 	 9.87	 9.59	22.19	 0.47
      26	NGC 5139 	omega Cen  	13 26 45.9	-47 28 37	309.10	 14.97	  5.1	  6.3	  3.1	 -3.8	  1.3	 0.12	14.53	13.92	 3.68	-10.24	 0.19	 0.78	 0.51	 1.05	 12.2	     	2  	-1.62	F5  	 232.3	 0.5	 229.4	 1.24	  	 2.58	 4.18	 	 9.76	 9.72	16.77	 3.13
      27	NGC 5272 	M 3        	13 42 11.2	+28 22 32	 42.21	 78.71	 10.0	 11.9	  1.5	  1.3	  9.8	 0.01	15.65	15.04	 6.19	 -8.85	 0.09	 0.69	     	 0.93	 75.3	 0.08	4  	-1.57	F6  	-148.6	 0.4	-138.0	 1.85	  	 0.50	 1.12	 	 8.78	 9.02	16.34	 3.56
      28	NGC 5286 	           	13 46 26.5	-51 22 24	311.61	 10.57	 10.7	  8.2	  7.0	 -7.9	  2.0	 0.24	16.50	15.90	 7.34	 -8.56	 0.28	 0.88	 0.58	 1.19	  6.0	 0.80	1  	-1.67	F5  	  58.3	 3.2	  55.6	 1.46	  	 0.29	 0.69	 	 8.28	 8.61	16.07	 4.18
      29	AM 4     	           	13 55 50.1	-27 10 22	320.15	 33.54	 29.2	 24.8	 18.7	-15.6	 16.1	 0.04	18.00	17.45	15.90	 -1.55	     	     	     	     	     	     	   	-2.00	    	      	    	      	 0.50	  	 0.42	 0.42	 	     	     	24.75	 0.03
      30	NGC 5466 	           	14 05 27.3	+28 32 04	 42.15	 73.59	 16.6	 16.9	  3.5	  3.2	 15.9	 0.00	16.62	16.10	 9.04	 -7.06	 0.00	 0.67	     	 0.82	 41.9	 0.58	2  	-2.22	    	 107.7	 0.3	 119.7	 1.43	  	 1.96	 2.25	 	 9.75	 9.37	21.28	 0.78
      31	NGC 5634 	           	14 29 37.3	-05 58 35	342.21	 49.26	 25.3	 21.3	 15.7	 -5.1	 19.2	 0.05	17.75	17.17	 9.47	 -7.70	 0.09	 0.67	 0.44	 0.96	  5.8	     	1  	-1.82	F3/4	 -45.1	 6.6	 -36.1	 1.60	  	 0.21	 0.54	 	 8.71	 8.98	17.49	 3.13
      32	NGC 5694 	           	14 39 36.5	-26 32 18	331.06	 30.36	 33.9	 28.3	 25.6	-14.1	 17.1	 0.09	18.50	17.93	10.17	 -7.76	 0.08	 0.69	 0.48	 0.98	  0.0	 1.00	0  	-1.86	F4  	-145.8	 1.9	-140.4	 1.84	  	 0.06	 0.33	 	 7.85	 8.79	16.34	 4.04
      33	IC 4499  	           	15 00 18.5	-82 12 49	307.35	-20.47	 18.4	 15.4	 10.5	-13.7	 -6.4	 0.23	17.65	17.04	 9.76	 -7.28	 0.45	 0.91	     	     	122.5	 0.11	4  	-1.60	    	      	    	      	 1.11	  	 0.96	 1.50	 	 9.49	 9.45	20.92	 1.50
      34	NGC 5824 	           	15 03 58.5	-33 04 04	332.55	 22.07	 31.3	 25.1	 25.7	-13.4	 11.7	 0.13	18.45	17.88	 9.09	 -8.79	 0.12	 0.75	 0.51	 1.05	  8.2	 0.79	2  	-1.85	F4  	 -38.4	 4.4	 -33.4	 2.45	  	 0.05	 0.36	 	 7.98	 9.18	15.08	 4.67
      35	Pal 5    	           	15 16 05.3	-00 06 41	  0.85	 45.86	 22.6	 18.0	 15.8	  0.2	 16.2	 0.03	17.51	16.87	11.75	 -5.12	     	     	     	     	 44.9	-0.40	5: 	-1.38	    	 -55.0	16.0	 -42.4	 0.74	  	 2.90	 2.96	 	10.10	 9.59	24.67	-0.76
      36	NGC 5897 	           	15 17 24.5	-21 00 37	342.95	 30.29	 12.7	  7.6	 10.5	 -3.2	  6.4	 0.08	16.35	15.77	 8.53	 -7.24	 0.08	 0.74	 0.50	 1.04	  8.9	 0.86	2  	-1.80	F7  	 101.5	 1.0	 110.0	 0.79	  	 1.96	 2.11	 	 9.78	 9.31	20.49	 1.38
      37	NGC 5904 	M 5        	15 18 33.8	+02 04 58	  3.86	 46.80	  7.3	  6.1	  5.0	  0.3	  5.3	 0.03	15.07	14.41	 5.65	 -8.76	 0.17	 0.72	 0.45	 0.95	 38.4	 0.31	3  	-1.29	F7  	  52.1	 0.5	  65.2	 1.87	  	 0.40	 2.11	 	 8.30	 9.13	16.05	 3.94
      38	NGC 5927 	           	15 28 00.5	-50 40 22	326.60	  4.86	  7.4	  4.5	  6.2	 -4.1	  0.6	 0.47	16.60	15.81	 8.01	 -7.80	 0.85	 1.31	 0.79	 1.63	  0.0	-1.00	7  	-0.37	G2  	-115.7	 3.1	-114.5	 1.60	  	 0.42	 1.15	 	 8.53	 8.71	17.45	 3.90
      39	NGC 5946 	           	15 35 28.5	-50 39 34	327.58	  4.19	 12.3	  7.1	 10.4	 -6.6	  0.9	 0.55	17.80	17.16	 9.61	 -7.55	 0.45	 1.29	 0.77	 1.58	  2.9	     	1  	-1.38	F7/8	 119.5	 7.1	 120.9	 2.50	c 	 0.08	 0.69	 	 6.97	 8.84	17.42	 4.52
      40	BH 176   	           	15 39 07.3	-50 03 02	328.41	  4.34	 15.2	  9.4	 12.9	 -8.0	  1.2	 0.77	19.00	18.30	14.00	 -4.30	     	     	     	     	     	-1.00	7: 	     	    	      	    	      	     	  	     	     	 	     	     	23.36	
      41	NGC 5986 	           	15 46 03.5	-37 47 10	337.02	 13.27	 10.3	  4.7	  9.2	 -3.9	  2.4	 0.27	16.50	15.90	 7.52	 -8.38	 0.30	 0.90	 0.58	 1.22	  4.4	 0.97	1  	-1.67	F5  	  88.9	 3.7	  94.3	 1.22	  	 0.63	 1.05	 	 8.97	 8.78	17.56	 3.31
      42	Lynga 7  	           	16 11 03.0	-55 18 52	328.77	 -2.79	  7.0	  4.2	  6.0	 -3.6	 -0.3	 0.73	17.25	16.49	     	      	     	     	     	     	     	-1.00	7  	-0.62	    	   8.0	 5.0	   8.9	     	  	     	     	 	     	     	     	
      43	Pal 14   	AvdB       	16 11 04.9	+14 57 29	 28.75	 42.18	 72.2	 67.3	 46.9	 25.7	 48.5	 0.04	20.04	19.42	14.74	 -4.68	     	     	     	     	     	-1.00	7  	-1.52	    	  76.6	 2.2	  93.5	 0.72	  	 1.10	 1.15	 	10.16	 9.66	25.55	-1.18
      44	NGC 6093 	M 80       	16 17 02.5	-22 58 30	352.67	 19.46	  8.7	  3.1	  8.1	 -1.0	  2.9	 0.18	15.86	15.25	 7.33	 -7.92	 0.21	 0.84	 0.56	 1.11	  4.1	 0.93	0  	-1.62	F6  	   9.3	 3.1	  19.7	 1.95	  	 0.15	 0.65	 	 7.60	 8.32	15.19	 4.82
      45	NGC 6121 	M 4        	16 23 35.5	-26 31 31	350.97	 15.97	  2.2	  6.0	  2.0	 -0.3	  0.6	 0.36	13.45	12.78	 5.63	 -7.15	 0.43	 1.03	 0.69	 1.42	 70.4	-0.06	4  	-1.20	F8  	  70.2	 0.3	  79.8	 1.59	  	 0.83	 3.65	 	 7.57	 8.64	17.88	 3.83
      46	NGC 6101 	           	16 25 48.6	-72 12 06	317.75	-15.82	 15.1	 11.0	 10.8	 -9.8	 -4.1	 0.04	16.60	16.02	 9.16	 -6.86	 0.06	 0.68	 0.50	     	 19.8	 0.84	2  	-1.82	F5: 	 361.4	 1.7	 357.2	 0.80	  	 1.15	 1.71	 	 9.44	 9.22	20.12	 1.63
      47	NGC 6144 	           	16 27 14.1	-26 01 29	351.93	 15.70	 10.1	  3.4	  9.6	 -1.4	  2.7	 0.32	16.60	16.01	 9.01	 -7.00	 0.35	 0.96	 0.60	 1.10	  0.0	 1.00	1  	-1.73	F5/6	 188.9	 1.1	 198.8	 1.55	  	 0.94	 1.62	 	 8.95	 8.94	20.27	 2.11
